DATE;BARCODE;ITEM;PRICE
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;002;Rabbit Legs;$7.72
2023-09-25;020;Lemonade - Black Cherry, 591 Ml;$2.58
2023-09-25;014;Steel Wool;$8.66
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;002;Rabbit Legs;$7.72
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;010;Uniform Linen Charge;$9.44
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;002;Rabbit Legs;$7.72
2023-09-25;001;Garlic Paste;$0.43
2023-09-25;002;Rabbit Legs;$7.72
2023-09-25;001;Garlic Paste;$0.43
